Region	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
Haweill	Retail & recreation	20.0	20.5	14.5	14.0	17.0	16.5	18.0	17.5	16.0	16.5	17.0	18.0	17.5	16.0	17.0	15.5	16.5	14.0	16.0	14.0	15.0	14.5	13.0	13.0	12.5	12.5	10.5	7.5	5.5	3.0	-5.0	-9.0	-12.0	-21.0	-31.5	-35.0	-31.0	-38.0	-44.0	-46.0	-47.0	-51.0	-52.0
Haweill	Grocery & pharmacy	17.5	11.0	13.5	13.0	16.0	14.5	17.0	15.5	15.0	15.0	18.5	20.0	17.5	17.0	18.0	17.0	21.0	17.0	22.5	17.0	20.0	18.0	17.0	15.5	16.0	22.0	26.0	23.0	21.5	24.0	17.0	15.0	14.0	9.0	0.0	-3.5	-2.0	-9.5	-19.5	-23.0	-22.0	-27.0	-28.0
Haweill	Parks	33.0	30.0	16.0	17.0	22.5	25.0	38.5	32.5	21.5	21.5	25.0	18.0	13.5	15.0	7.0	7.0	14.5	22.5	14.0	5.5	19.0	18.5	8.0	16.0	18.5	1.5	5.0	17.0	6.5	-23.0	-34.5	-14.0	-21.0	-20.0	-28.5	-35.5	-52.0	-58.0	-62.0	-67.0	-67.5	-63.0	-62.5
Haweill	Transit stations	19.5	14.5	22.0	18.0	18.0	18.0	16.0	18.5	20.0	16.5	14.5	14.5	15.0	14.5	15.0	14.0	11.5	8.5	10.5	12.0	11.0	13.0	12.0	10.5	9.0	5.5	6.0	4.5	2.0	-2.0	-10.0	-16.0	-21.0	-24.0	-31.0	-35.0	-37.0	-43.0	-50.0	-60.5	-63.0	-67.0	-70.0
Haweill	Workplace	4.0	-33.5	14.5	15.0	16.0	18.0	16.0	16.5	17.0	15.0	16.0	15.5	17.0	16.0	17.0	18.0	16.0	16.0	16.0	17.0	17.0	16.0	16.5	15.0	15.0	13.5	14.0	11.0	8.5	-3.5	-12.0	-14.0	-18.0	-22.0	-17.0	-20.0	-26.0	-33.5	-39.0	-46.5	-40.5	-37.0	-38.5
Haweill	Residential	17.5	28.0	17.0	17.0	16.0	15.0	14.5	15.5	15.0	16.0	15.5	15.5	15.0	15.5	17.0	16.0	16.0	16.0	16.0	16.0	15.5	16.5	16.0	17.0	16.5	18.0	17.5	18.0	19.0	23.0	29.0	29.5	32.0	34.0	31.0	29.5	34.0	39.0	42.0	45.0	45.5	39.0	35.0
Hawaii County	Retail & recreation	3.0	1.0	1.0	0.0	4.0	1.0	1.0	1.0	0.0	0.0	1.0	2.0	3.0	1.5	0.5	1.5	-1.0	-1.0	1.5	1.0	-1.0	-3.0	-3.0	-3.5	-2.0	-1.0	-2.5	-8.0	-6.5	-5.5	-12.5	-19.0	-24.0	-28.0	-39.0	-43.0	-39.0	-37.0	-51.5	-56.0	-54.0	-58.0	-61.0
Hawaii County	Grocery & pharmacy	0.0	-3.0	0.0	0.0	-1.0	0.0	0.0	-4.0	-2.0	-3.0	0.0	0.0	-2.0	-1.5	-8.0	-3.0	-3.5	1.0	6.0	4.5	1.0	-4.0	0.5	-2.0	1.5	2.5	6.5	-1.0	-6.5	4.5	-1.5	-6.0	-6.0	-4.0	-19.5	-26.5	-15.5	-11.0	-33.0	-37.0	-34.0	-38.0	-46.0
Hawaii County	Parks	20.0	28.5	12.0	7.0	16.0	7.5	14.0	12.0	10.5	13.5	6.0	14.5	0.0	1.5	-7.0	5.0	-14.0	-1.0	9.0	-6.0	-7.0	-7.0	-7.0	0.5	1.5	10.0	-7.0	-15.5	-6.0	-10.0	-23.0	-23.0	-14.5	-26.5	-52.0	-57.5	-65.5	-59.5	-77.0	-76.0	-75.5	-72.0	-76.5
Hawaii County	Transit stations	9.5	18.0	18.5	10.0	4.0	3.0	2.0	5.0	2.0	3.5	3.0	4.0	2.0	5.0	1.0	4.0	-5.0	-4.5	-2.0	-0.5	-6.0	-6.0	-1.0	-1.0	-2.0	-6.0	-1.0	0.5	-7.5	-0.5	-9.5	-18.0	-26.5	-34.0	-44.5	-49.0	-49.0	-52.0	-60.5	-70.5	-73.5	-79.0	-83.0
Hawaii County	Workplace	-9.5	-27.5	0.5	-0.5	-0.5	0.0	-1.5	-0.5	0.0	-1.0	0.0	0.0	1.0	0.5	-1.0	1.5	-0.5	-0.5	1.0	1.0	-1.0	1.0	0.0	-0.5	-0.5	-3.0	-3.0	-5.0	-5.5	-16.5	-21.0	-23.5	-28.0	-27.0	-22.0	-24.0	-32.5	-34.0	-42.0	-49.0	-43.0	-39.0	-40.5
