"GEO_ID","NAME","DP03_0004PE","DP03_0007PE","DP03_0031PE","DP03_0040PE","DP03_0043PE","DP03_0049PE","DP03_0107PE","DP03_0115PE","DP03_0137PE","DP05_0075PE","DP05_0007PE","DP05_0009PE","DP03_0088E"
1001,"Autauga County, Alabama",55.6,40.7,15,6.3,8.1,5.6,6,83.6,24.3,0.5,6.5,6,29372
1003,"Baldwin County, Alabama",55.7,41.5,11.7,7.4,10.1,6.7,5.2,83.1,23.2,1.2,6.9,5.2,31203
1005,"Barbour County, Alabama",41.6,54,26.5,4,5.9,5.7,10.9,78.9,34.4,0.4,6.5,6.4,18461
1007,"Bibb County, Alabama",43.8,52.6,23,4.6,4.4,5.5,5,85.8,31.9,1.3,5.7,6.6,20199
1009,"Blount County, Alabama",46.5,51.4,19.9,5.8,4.6,4.8,3.6,78.6,30.4,0.7,6.9,5.5,22656
1011,"Bullock County, Alabama",46.8,47.3,33.9,2.3,8.2,5.3,9.7,77.4,36.9,0,5.2,6.8,20346
1013,"Butler County, Alabama",49.4,47,26.2,3,10.5,4.1,6.5,84.3,32.5,0,6.4,5.4,20430
1015,"Calhoun County, Alabama",51.8,42.9,21.3,4.4,8.5,5.5,8,85.6,35.4,0.6,6.2,6.6,24706
1017,"Chambers County, Alabama",53.5,43.7,30,3.6,6.3,4.1,6.1,79.6,33,0.3,6.2,7.5,22827
1019,"Cherokee County, Alabama",45.9,51.4,29.2,1.8,4.7,7.2,5.8,84.4,29.6,0.1,5.9,5.3,23356
1021,"Chilton County, Alabama",50.7,45.4,22,5.7,4.6,4.9,4.5,74.2,36.1,0.9,6.5,5.9,24611
1023,"Choctaw County, Alabama",39.5,55.9,22.4,2.2,3.3,4.6,7.7,80.6,32.6,0.1,5.8,5.3,22182
1025,"Clarke County, Alabama",38.7,54.8,29,4.1,6,4.7,6.3,81.3,45.8,0.1,6.5,6.5,21111
1027,"Clay County, Alabama",51.1,45.4,35.9,3.1,4.4,6,7.1,81.5,35.5,0.9,7.5,6.6,23147
1029,"Cleburne County, Alabama",47.5,48.4,24.2,2.8,6.1,7.1,7.1,77.9,38.5,0.3,6.4,5.1,21989
1031,"Coffee County, Alabama",53.6,40.2,18.6,4,7.5,6,10.3,81.2,27.2,2.3,7,6,27577
1033,"Colbert County, Alabama",50.6,46.1,22.6,4.9,7.9,5.6,6.2,84.8,28.9,0.6,5.9,5.8,24918
1035,"Conecuh County, Alabama",38.3,56.7,31.5,4.7,7.2,5.7,4.8,76.2,29.7,0,4.6,4.9,17542
1037,"Coosa County, Alabama",44.5,52.7,21.5,4.8,8.7,3.9,4.8,92.1,26.7,0,6.7,5.3,22963
1039,"Covington County, Alabama",49.5,45.7,19.8,3.5,5.7,6.7,4.1,83.6,33.9,0.6,5.7,5.5,23071
1041,"Crenshaw County, Alabama",50.5,45.9,22.7,4.2,3.3,8.2,7.2,83.6,38.6,0.5,6.7,5.4,23353
1043,"Cullman County, Alabama",50.1,46.9,21.1,3.9,6.3,7.4,4.5,75.5,32.8,0.6,6.8,5.8,22980
1045,"Dale County, Alabama",46.2,43.3,19.7,3.5,9.2,6.1,9,83.8,33.1,1.5,6.4,6.7,23837
1047,"Dallas County, Alabama",45.5,48.4,30,3.4,5.9,5,8.1,79.2,40.4,0.3,6.7,6.3,18910
1049,"DeKalb County, Alabama",51.2,46.4,29.4,3.8,6.7,9.6,4.4,72.5,35.5,6.1,7.2,5.9,21004
1051,"Elmore County, Alabama",51.9,44,16.7,5.8,8,5.1,6.1,82.9,24.3,0.3,6.7,6.5,27475
1053,"Escambia County, Alabama",40.6,53,20.4,3.4,9,5.4,5.3,71.7,38.1,0,6.7,6,18161
1055,"Etowah County, Alabama",50.8,45.6,21.5,3.9,9.6,5.4,6,81.2,28.1,1.5,6,6.1,24065
1057,"Fayette County, Alabama",47.3,49,27.5,3.2,4.3,4.5,6,82,33.3,0.9,6.2,5.5,21862
1059,"Franklin County, Alabama",52.2,44.3,31.1,3.6,6.2,5.4,4.5,77.9,29.4,8.7,7.7,7.2,19776
1061,"Geneva County, Alabama",47,48.2,20.1,2.7,4.9,10.2,5.9,78.9,35.1,0.5,6.3,5.3,20471
1063,"Greene County, Alabama",33.1,60.7,27,6.1,5.3,4.1,5.7,81.1,42.4,0,5.8,6.9,14209
1065,"Hale County, Alabama",42.9,51,20.7,3.8,7.1,6.2,9.3,84.3,43,0,6.6,5.7,20272
1067,"Henry County, Alabama",49.1,47.3,19.9,3.3,10.5,5,6.8,85.2,28.6,0.4,6.9,5.9,24069
1069,"Houston County, Alabama",53.5,42.3,15.8,4.2,10.1,5.9,6.6,82.7,29.1,0.7,6.7,5.9,25990
1071,"Jackson County, Alabama",47.7,49.3,28.5,4.2,5.3,6.7,5.1,82.3,33.8,0.8,6,5.2,21608
1073,"Jefferson County, Alabama",57.6,37.8,13.3,8.6,9.2,4.5,6.4,84.7,27.3,0.8,6.2,6.5,30657
1075,"Lamar County, Alabama",47.8,48,26,3.9,3.3,5.8,6.9,90.1,35.1,0.1,6.7,4.7,21666
1077,"Lauderdale County, Alabama",52.7,44.2,17.1,4.1,10.4,6.4,5.2,85.8,33.2,0.5,5.2,8.5,27189
1079,"Lawrence County, Alabama",47,50.1,28.2,3.7,4.9,6.4,5,83.7,33.8,0.2,6.6,5.3,23557
1081,"Lee County, Alabama",56.6,39.4,14.3,6.5,9.4,4.5,6.1,88,48.2,1.1,6.4,14.1,26960
1083,"Limestone County, Alabama",53.3,42.6,18.6,2.9,7.4,5.9,4.8,83,25.7,1.2,7.2,5.5,27699
1085,"Lowndes County, Alabama",42.7,51.7,28.7,3.9,5.6,3.2,6.8,86.5,41.4,0.2,6.5,6.5,19491
1087,"Macon County, Alabama",45.4,48.3,19.7,2.5,10.2,5,10.6,90.5,39.9,0.1,5,11.9,20125
1089,"Madison County, Alabama",60,36,10.9,3.6,8.2,4.4,6.3,85.4,24.2,0.9,6.3,6.9,35526
1091,"Marengo County, Alabama",41.8,53.7,20.5,4.3,5.6,6.2,6.6,80.2,43.2,0.1,7.5,4.6,23056
1093,"Marion County, Alabama",49.2,47.8,25.6,5.8,4,6,4.5,80.5,34,0.5,6.6,5.4,21391
