"","Region","State"
"1","Abbeville County","South Carolina"
"2","Acadia County","Louisiana"
"3","Accomack County","Virginia"
"4","Ada County","Idaho"
"5","Adair County","Iowa"
"6","Adams County","Colorado"
"7","Addison County","Vermont"
"8","Aiken County","South Carolina"
"9","Aitkin County","Minnesota"
"10","Alachua County","Florida"
"11","Alamance County","North Carolina"
"12","Alameda County","California"
"13","Alamosa County","Colorado"
"14","Albany County","New York"
"15","Albemarle County","Virginia"
"16","Alcona County","Michigan"
"17","Alcorn County","Mississippi"
"18","Alexander County","Illinois"
"19","Alexandria city","Virginia"
"20","Alger County","Michigan"
"21","Allamakee County","Iowa"
"22","Allegan County","Michigan"
"23","Allegany County","Maryland"
"24","Alleghany County","North Carolina"
"25","Allegheny County","Pennsylvania"
"26","Allen County","Indiana"
"27","Allendale County","South Carolina"
"28","Alpena County","Michigan"
"29","Amador County","California"
"30","Amelia County","Virginia"
"31","Amherst County","Virginia"
"32","Amite County","Mississippi"
"33","Anderson County","Kansas"
"34","Andrew County","Missouri"
"35","Andrews County","Texas"
"36","Androscoggin County","Maine"
"37","Angelina County","Texas"
"38","Anne Arundel County","Maryland"
"39","Anoka County","Minnesota"
"40","Anson County","North Carolina"
"41","Antrim County","Michigan"
"42","Apache County","Arizona"
"43","Appanoose County","Iowa"
"44","Appling County","Georgia"
"45","Appomattox County","Virginia"
"46","Aransas County","Texas"
"47","Arapahoe County","Colorado"
"48","Archer County","Texas"
"49","Archuleta County","Colorado"
"50","Arenac County","Michigan"
"51","Arkansas County","Arkansas"
"52","Arlington County","Virginia"
"53","Armstrong County","Pennsylvania"
"54","Aroostook County","Maine"
"55","Ascension County","Louisiana"
"56","Ashe County","North Carolina"
"57","Ashland County","Ohio"
"58","Ashley County","Arkansas"
"59","Ashtabula County","Ohio"
"60","Asotin County","Washington"
"61","Assumption County","Louisiana"
"62","Atascosa County","Texas"
"63","Atchison County","Kansas"
"64","Athens County","Ohio"
"65","Atkinson County","Georgia"
"66","Atlantic County","New Jersey"
"67","Atoka County","Oklahoma"
"68","Attala County","Mississippi"
"69","Audrain County","Missouri"
"70","Audubon County","Iowa"
"71","Auglaize County","Ohio"
"72","Augusta County","Virginia"
"73","Austin County","Texas"
"74","Autauga County","Alabama"
"75","Avery County","North Carolina"
"76","Avoyelles County","Louisiana"
"77","Bacon County","Georgia"
"78","Bailey County","Texas"
"79","Baker County","Florida"
"80","Baldwin County","Alabama"
"81","Ballard County","Kentucky"
"82","Baltimore","Maryland"
"83","Baltimore County","Maryland"
"84","Bamberg County","South Carolina"
"85","Bandera County","Texas"
"86","Banks County","Georgia"
"87","Bannock County","Idaho"
"88","Baraga County","Michigan"
"89","Barbour County","Alabama"
"90","Barnes County","North Dakota"
"91","Barnstable County","Massachusetts"
"92","Barnwell County","South Carolina"
"93","Barren County","Kentucky"
"94","Barron County","Wisconsin"
"95","Barrow County","Georgia"
"96","Barry County","Michigan"
"97","Bartholomew County","Indiana"
"98","Barton County","Kansas"
"99","Bartow County","Georgia"
"100","Bastrop County","Texas"
"101","Bates County","Missouri"
"102","Bath County","Kentucky"
"103","Baxter County","Arkansas"
"104","Bay County","Florida"
"105","Bayfield County","Wisconsin"
"106","Beadle County","South Dakota"
"107","Bear Lake County","Idaho"
"108","Beaufort County","North Carolina"
"109","Beauregard County","Louisiana"
"110","Beaver County","Pennsylvania"
"111","Beaverhead County","Montana"
"112","Becker County","Minnesota"
"113","Beckham County","Oklahoma"
"114","Bedford County","Pennsylvania"
"115","Bee County","Texas"
"116","Belknap County","New Hampshire"
"117","Bell County","Kentucky"
"118","Belmont County","Ohio"
"119","Beltrami County","Minnesota"
"120","Ben Hill County","Georgia"
"121","Benewah County","Idaho"
"122","Bennington County","Vermont"
"123","Benton County","Arkansas"
"124","Benzie County","Michigan"
"125","Bergen County","New Jersey"
"126","Berkeley County","South Carolina"
"127","Berks County","Pennsylvania"
"128","Berkshire County","Massachusetts"
"129","Bernalillo County","New Mexico"
"130","Berrien County","Georgia"
