Region	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
Alaska	Retail & recreation	31.0	18.5	12.5	15.0	18.0	14.5	22.0	28.5	20.0	23.0	29.0	27.0	29.5	31.0	36.0	23.0	28.0	28.0	25.5	26.0	30.0	30.0	24.0	30.0	29.0	29.5	23.0	15.5	21.0	16.0	-0.5	-8.0	-15.5	-19.0	-27.5	-21.5	-27.0	-29.0	-32.0	-32.0	-34.5	-40.0	-42.5
Alaska	Grocery & pharmacy	20.0	13.0	13.0	13.0	18.0	14.0	19.0	20.0	16.5	14.5	22.0	22.5	22.0	26.0	31.5	23.0	26.0	25.5	24.0	21.0	27.0	25.0	20.0	23.0	26.5	38.0	38.0	38.0	33.0	38.5	27.0	25.0	21.0	18.5	15.0	11.0	4.0	1.0	-1.0	0.0	-1.5	-2.0	-14.0
Alaska	Parks	46.5	26.0	16.5	17.0	20.5	16.0	31.0	33.5	22.5	16.5	23.5	30.5	30.0	25.0	22.0	19.5	12.5	18.5	25.0	27.0	36.0	54.5	33.0	28.0	34.0	40.0	34.5	59.0	82.0	51.5	31.0	22.5	31.5	42.0	21.0	83.5	50.5	36.5	24.0	47.5	23.5	27.5	35.5
Alaska	Transit stations	19.5	11.0	20.5	20.0	18.0	21.5	19.0	17.0	19.0	15.0	20.0	27.0	26.0	31.0	33.0	23.0	20.0	25.0	20.5	26.0	26.5	26.5	19.5	18.0	18.5	15.0	15.5	17.5	23.0	10.0	1.0	1.0	-9.5	-13.0	-14.0	-19.0	-28.0	-30.0	-34.0	-35.0	-43.5	-44.0	-48.5
Alaska	Workplace	5.5	-17.0	12.5	13.0	18.0	21.0	19.5	17.5	18.5	19.0	18.0	18.0	22.5	21.0	20.0	16.5	19.0	18.5	17.0	15.5	19.0	16.5	4.0	6.0	6.0	4.5	4.5	13.5	12.5	1.5	-3.0	-9.5	-14.0	-15.0	-9.0	-10.0	-26.0	-30.5	-34.0	-34.5	-33.0	-22.5	-23.5
Alaska	Residential	17.0	24.5	18.0	17.0	15.5	15.5	15.0	15.0	15.5	16.0	15.0	14.5	13.5	14.0	14.0	16.0	15.5	15.5	15.5	16.0	14.5	14.0	18.0	18.0	18.0	18.0	19.0	16.5	16.0	20.0	24.0	26.5	28.0	29.5	25.5	23.0	32.0	35.0	36.5	36.0	38.0	30.5	27.5
Anchorage	Retail & recreation	12.0	2.5	-5.0	-1.5	2.0	-2.0	6.0	11.0	3.0	6.0	10.0	9.0	12.0	14.5	18.0	5.5	10.0	8.5	7.5	10.0	17.0	12.0	7.0	11.0	9.5	9.5	4.0	-3.0	-0.5	-1.0	-18.5	-25.0	-30.0	-29.0	-36.5	-33.0	-39.0	-41.0	-42.0	-42.5	-46.0	-49.0	-49.0
Anchorage	Grocery & pharmacy	1.5	-1.0	-2.5	-2.0	2.0	-2.0	2.5	3.5	2.0	2.0	5.0	7.0	6.0	9.0	12.5	7.0	10.0	7.5	7.0	3.0	10.0	5.0	5.0	7.0	10.0	22.0	19.0	19.5	15.5	25.0	10.5	5.0	5.0	7.0	4.0	-2.0	-10.0	-13.0	-14.5	-12.0	-16.0	-17.5	-24.5
Anchorage	Parks	32.0	-5.0	-17.5	-7.5	-3.0	-4.0	14.5	27.0	-1.0	2.5	4.5	15.0	14.5	8.0	15.0	7.0	-7.5	2.0	2.5	2.0	19.0	30.5	0.5	7.0	9.5	9.5	6.0	22.0	56.5	31.0	0.5	4.0	-1.0	20.0	-3.0	89.0	27.5	18.0	10.5	39.0	4.0	17.0	46.0
Anchorage	Transit stations	3.5	-9.0	3.0	4.5	1.0	1.5	2.5	1.0	3.0	1.0	6.0	10.0	7.5	15.0	19.0	7.5	4.0	7.0	1.5	8.0	9.0	10.0	5.0	2.0	1.5	-3.0	-3.5	0.0	5.5	-5.5	-11.0	-11.5	-23.0	-25.0	-22.5	-27.0	-36.5	-40.0	-41.0	-43.5	-50.0	-49.5	-52.0
Anchorage	Workplace	-7.5	-29.5	1.0	1.0	3.0	3.0	2.5	3.5	3.0	3.5	3.0	3.0	4.0	2.5	4.0	-0.5	3.0	3.0	1.5	-5.0	0.0	0.5	-12.0	-9.0	-9.0	-9.0	-10.5	-3.0	-3.5	-12.5	-18.0	-23.0	-27.0	-29.0	-26.0	-26.0	-40.0	-45.0	-47.0	-48.0	-47.5	-39.5	-39.0
Anchorage	Residential	0.5	8.5	1.5	0.0	-1.0	0.0	-1.0	-1.0	-1.0	-0.5	-1.0	-1.5	-2.0	-2.0	-1.5	-0.5	-1.0	-1.0	-1.0	2.0	-1.0	-1.0	2.5	2.0	2.0	2.0	3.5	1.5	1.0	4.0	9.0	11.0	12.5	13.5	10.0	7.0	16.5	19.0	20.0	20.0	22.0	14.5	10.5
Bethel	Retail & recreation																																											
Bethel	Grocery & pharmacy						-13.0							-3.0							-9.0							9.0														-12.5	-24.0	
Bethel	Parks																																											
Bethel	Transit stations																																											
Bethel	Workplace		-25.5	-1.5	4.5	3.0				-3.5	-3.0	2.0	2.0				1.5	-4.0	0.0	-11.0	-6.0			-9.0	-9.0	-6.0	-6.0					-12.0	-16.0	-20.0	-14.5				-25.0	-20.0	-25.0	-20.5		
Bethel	Residential																																											
Fairbanks North Star	Retail & recreation	19.0	10.5	9.0	5.0	4.5	6.0	12.0	16.5	6.5	12.0	11.5	10.0	11.5	18.0	24.5	10.5	11.5	9.5	8.5	6.5	11.5	17.0	10.5	10.5	10.0	16.0	11.0	4.0	8.0	4.5	-5.5	-15.5	-23.0	-30.5	-37.0	-33.0	-41.5	-37.5	-43.5	-39.0	-39.0	-43.0	-47.5
Fairbanks North Star	Grocery & pharmacy	9.0	4.0	-3.0	2.0	2.0	-1.5	7.0	9.5	1.0	-1.0	3.0	4.0	4.5	13.5	20.0	8.0	6.5	4.0	4.0	0.5	10.0	6.5	5.0	2.0	6.0	17.5	19.0	14.5	10.5	12.0	7.0	2.0	-3.0	-11.0	-13.0	-17.0	-24.5	-20.0	-25.5	-17.5	-19.0	-16.0	-32.0
Fairbanks North Star	Parks																																											
