Region	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
Connecticut	Retail & recreation	22.0	27.0	14.0	17.0	17.0	16.5	26.0	25.0	19.5	16.0	20.5	19.0	19.5	25.5	27.0	24.0	22.0	23.0	23.0	17.5	26.5	24.5	25.0	20.0	21.0	21.0	11.5	6.0	0.5	5.5	-14.5	-17.0	-23.5	-23.0	-29.5	-36.0	-41.0	-37.0	-39.5	-35.0	-34.5	-42.0	-50.0
Connecticut	Grocery & pharmacy	10.5	16.0	10.0	14.0	13.0	10.0	14.0	16.0	17.5	14.0	17.0	16.0	15.0	16.0	22.0	25.0	27.0	25.0	24.0	17.5	22.0	19.5	25.0	26.0	31.0	54.5	51.5	35.0	22.0	46.0	28.0	23.0	19.0	28.5	18.0	-0.5	-11.5	-3.5	-7.0	-2.0	-3.0	-8.0	-21.0
Connecticut	Parks	17.5	46.5	2.5	28.5	17.0	20.5	100.5	90.0	63.0	23.0	18.5	20.0	18.5	44.0	18.5	49.0	38.0	41.0	47.0	21.5	69.5	85.0	117.0	48.5	50.0	27.5	27.5	115.0	85.0	36.5	8.5	62.5	10.5	32.5	111.5	53.0	-26.0	26.0	-3.0	68.5	81.0	51.0	-35.5
Connecticut	Transit stations	18.0	15.0	17.0	20.0	19.0	18.5	28.0	30.0	19.0	17.0	18.5	18.5	19.5	23.0	26.5	19.0	21.5	20.0	21.0	18.0	24.5	26.5	17.5	16.0	11.5	5.5	-5.0	1.5	-7.5	-13.5	-20.0	-21.0	-31.5	-33.0	-30.0	-40.5	-47.5	-40.0	-44.0	-42.0	-45.0	-49.0	-59.0
Connecticut	Workplace	5.5	-15.0	8.0	15.0	17.0	17.0	18.5	18.0	19.0	18.0	17.0	18.5	18.5	18.0	19.0	19.5	19.0	17.5	19.0	17.0	18.0	17.0	17.5	16.5	14.0	12.0	2.0	11.5	4.5	-11.5	-22.0	-25.0	-28.0	-29.0	-16.0	-19.0	-37.0	-41.0	-43.0	-42.5	-41.0	-29.0	-29.5
Connecticut	Residential	17.5	22.5	18.0	16.0	16.0	16.0	14.0	14.5	15.0	15.5	15.0	15.5	15.0	14.0	14.5	15.0	15.0	15.0	15.0	16.0	14.5	15.0	15.0	16.0	16.0	17.5	23.0	20.0	21.0	26.5	32.0	32.5	36.5	37.0	29.5	29.0	39.5	40.0	42.0	41.0	42.0	34.5	33.0
Fairfield County	Retail & recreation	0.5	8.5	-2.5	0.0	0.0	-1.5	4.0	3.0	1.0	-2.0	1.5	0.5	0.5	4.0	4.0	3.0	2.5	4.0	4.0	0.0	5.5	3.5	4.5	2.5	3.0	0.0	-9.5	-14.0	-20.0	-13.5	-27.0	-29.5	-35.0	-36.0	-43.0	-48.0	-51.5	-46.0	-49.0	-46.0	-46.0	-53.5	-61.0
Fairfield County	Grocery & pharmacy	-4.5	0.0	-4.0	0.0	-2.5	-5.0	-2.0	-1.0	-2.0	-3.0	0.0	-2.0	-1.5	0.0	4.0	5.0	7.0	8.0	6.0	1.0	5.5	2.5	5.0	7.0	13.5	32.5	24.0	12.0	1.5	18.0	7.5	3.0	0.0	6.0	-2.0	-15.5	-29.0	-18.5	-21.0	-18.0	-18.0	-23.0	-34.0
Fairfield County	Parks	10.5	41.0	-6.0	17.0	4.5	8.0	73.0	67.0	36.0	3.0	0.0	10.0	5.5	18.5	11.5	34.0	18.5	26.5	31.0	5.0	45.5	67.0	95.0	34.5	31.0	7.0	30.5	99.0	67.0	17.5	3.5	41.5	9.0	29.5	79.5	23.0	-48.0	9.0	-19.0	39.0	49.5	-3.0	-54.0
Fairfield County	Transit stations	0.5	-9.0	-1.0	2.0	2.5	3.0	10.5	16.5	-1.0	-1.0	0.5	0.0	3.0	6.0	9.0	-0.5	0.0	-2.0	0.5	0.0	1.0	7.0	-4.5	-8.0	-12.0	-17.0	-23.5	-20.0	-25.0	-34.5	-40.0	-42.0	-48.0	-50.0	-47.0	-54.5	-63.0	-59.0	-61.0	-60.0	-61.0	-63.0	-70.5
