"","Region","fips","State","pre_post","average_mobility"
"1","Abbeville County",45001,"South Carolina","Post",1.89285714285715
"2","Abbeville County",45001,"South Carolina","Pre",9.8452380952381
"3","Acadia County",22001,"Louisiana","Post",9.12857142857143
"4","Acadia County",22001,"Louisiana","Pre",8.86785714285714
"5","Accomack County",51001,"Virginia","Post",5.46428571428571
"6","Accomack County",51001,"Virginia","Pre",4.58928571428571
"7","Ada County",16001,"Idaho","Post",8.25
"8","Ada County",16001,"Idaho","Pre",15.8809523809524
"9","Adair County",19001,"Iowa","Post",-14.3452380952381
"10","Adair County",19001,"Iowa","Pre",10.5119047619048
"11","Adair County",21001,"Kentucky","Post",7.36904761904762
"12","Adair County",21001,"Kentucky","Pre",13.2738095238095
"13","Adair County",29001,"Missouri","Post",9.32142857142856
"14","Adair County",29001,"Missouri","Pre",17.9523809523809
"15","Adair County",40001,"Oklahoma","Post",-4.78571428571428
"16","Adair County",40001,"Oklahoma","Pre",5.83333333333334
"17","Adams County",8001,"Colorado","Post",1.98809523809523
"18","Adams County",8001,"Colorado","Pre",10.3690476190476
"19","Adams County",17001,"Illinois","Post",6.11904761904761
"20","Adams County",17001,"Illinois","Pre",6.45
"21","Adams County",18001,"Indiana","Post",3.52380952380952
"22","Adams County",18001,"Indiana","Pre",3.75595238095238
"23","Adams County",28001,"Mississippi","Post",-2.76190476190476
"24","Adams County",28001,"Mississippi","Pre",4.61904761904762
"25","Adams County",31001,"Nebraska","Post",-0.553571428571429
"26","Adams County",31001,"Nebraska","Pre",5.70238095238096
"27","Adams County",39001,"Ohio","Post",7.21428571428571
"28","Adams County",39001,"Ohio","Pre",7.19047619047619
"29","Adams County",42001,"Pennsylvania","Post",10.0607142857143
"30","Adams County",42001,"Pennsylvania","Pre",4.29285714285714
"31","Adams County",53001,"Washington","Post",13.8571428571429
"32","Adams County",53001,"Washington","Pre",8.05357142857143
"33","Adams County",55001,"Wisconsin","Post",6.33333333333334
"34","Adams County",55001,"Wisconsin","Pre",12.7857142857143
"35","Addison County",50001,"Vermont","Post",-5.52380952380953
"36","Addison County",50001,"Vermont","Pre",2.79166666666667
"37","Aiken County",45003,"South Carolina","Post",3.72857142857143
"38","Aiken County",45003,"South Carolina","Pre",9.18571428571428
"39","Aitkin County",27001,"Minnesota","Post",-11.6785714285714
"40","Aitkin County",27001,"Minnesota","Pre",-1.48809523809524
"41","Alachua County",12001,"Florida","Post",2.33333333333333
"42","Alachua County",12001,"Florida","Pre",0.309523809523809
"43","Alamance County",37001,"North Carolina","Post",5.60238095238096
"44","Alamance County",37001,"North Carolina","Pre",6.57380952380953
"45","Alameda County",6001,"California","Post",0.214285714285715
"46","Alameda County",6001,"California","Pre",4.48809523809524
"47","Alamosa County",8003,"Colorado","Post",8.14285714285715
"48","Alamosa County",8003,"Colorado","Pre",10.8095238095238
"49","Albany County",36001,"New York","Post",9.02142857142857
"50","Albany County",36001,"New York","Pre",7.44047619047618
"51","Albany County",56001,"Wyoming","Post",3.01785714285714
"52","Albany County",56001,"Wyoming","Pre",9.92142857142857
"53","Albemarle County",51003,"Virginia","Post",-7.38571428571429
"54","Albemarle County",51003,"Virginia","Pre",2.11666666666667
"55","Alcona County",26001,"Michigan","Post",0.25
"56","Alcona County",26001,"Michigan","Pre",-3.6
"57","Alcorn County",28003,"Mississippi","Post",-1.45238095238095
"58","Alcorn County",28003,"Mississippi","Pre",1.19642857142857
"59","Alexander County",17003,"Illinois","Post",-2
