"GEO_ID","NAME","DP03_0005PE","DP03_0006PE","DP03_0013PE","DP03_0017PE","DP03_0022PE","DP03_0023PE","DP03_0024PE","DP03_0030PE","DP03_0034PE","DP03_0037PE","DP03_0039PE","DP03_0040PE","DP03_0041PE","DP03_0042PE","DP03_0043PE","DP03_0044PE","DP03_0049PE","DP03_0057PE","DP03_0068PE","DP03_0078PE","DP03_0079PE","DP03_0080PE","DP03_0082PE","DP03_0085PE","DP03_0101PE","DP03_0105PE","DP03_0107PE","DP03_0108PE","DP03_0111PE","DP03_0115PE","DP03_0118PE","DP03_0124PE","DP03_0132PE","DP03_0135PE","DP03_0137PE","DP05_0034PE","DP05_0035PE","DP05_0041PE","DP05_0042PE","DP05_0046PE","DP05_0047PE","DP05_0050PE","DP05_0051PE","DP05_0055PE","DP05_0056PE","DP05_0057PE","DP05_0058PE","DP05_0060PE","DP05_0072PE","DP05_0073PE","DP05_0074PE","DP05_0075PE","DP05_0077PE","DP05_0082PE","DP05_0084PE","DP05_0002PE","DP05_0003PE","DP05_0005PE","DP05_0007PE","DP05_0008PE","DP05_0009PE","DP05_0014PE","DP05_0016PE","DP05_0017PE","DP05_0030PE","DP03_0025E"
1001,"Autauga County, Alabama",2.5,1.3,50.2,68.9,0.6,1.4,2.8,8.2,6,8.9,1.6,6.3,8.9,20.1,8.1,6.2,5.6,18.1,22,6.6,7.4,10.7,16.5,3.7,2.3,91.8,6,8.2,53.6,83.6,16.4,0.9,24.3,8.7,24.3,98.1,1.9,0,0.1,0.2,0.2,0.4,0,0,0,0.7,1.9,0.5,1.3,0.5,0.4,0.5,75,0.1,0,48.7,51.3,5.9,6.5,7,6,4.9,4.6,1.5,43.3,25.8
1003,"Baldwin County, Alabama",2.6,0.2,51.9,73.4,0.7,1.4,6.1,9.8,8.3,13.7,1.4,7.4,10.6,20.1,10.1,4.9,6.7,19.3,25.2,5,7.5,12.6,15.4,6.9,4.1,85.4,5.2,14.6,45.4,83.1,16.9,5,12.4,8,23.2,98.3,1.7,0,0,0.3,0.1,0.1,0,0,0,1,1.7,0.7,2.5,0.7,0.1,1.2,83,0.2,0.2,48.6,51.4,5.6,6.9,6.1,5.2,7.1,5.8,1.9,46.4,27.4
1005,"Barbour County, Alabama",4.4,0,42,65.2,2.1,2.1,1.3,13.1,6.3,10.6,0.2,4,4.8,18.6,5.9,4.4,5.7,14.3,21.1,11.8,12.7,16.6,12.3,1.9,3,85.3,10.9,14.7,37.3,78.9,21.1,17.3,43.4,16.2,34.4,98.6,1.4,0,0,0,0,0.1,0.1,0,0,3,1.4,0.3,3.5,0.3,0,0.4,46.1,0.3,0.1,53.1,46.9,5.4,6.5,5.6,6.4,6.4,5.4,1.6,43.2,22.7
1007,"Bibb County, Alabama",3.6,0,42.5,71.1,0.6,0.9,2.6,17.4,9,9.1,1.3,4.6,4.7,22.8,4.4,7.5,5.5,16.7,22,9.7,10.5,16.7,19.1,2.4,1.8,89.9,5,10.1,54.4,85.8,14.2,0,21.7,8.1,31.9,99.2,0.8,0,0,0,0,0,0,0,0,0,0.8,0.4,0.9,0.1,0.1,1.3,74.6,0,0,53.9,46.1,5.7,5.7,6.7,6.6,5.4,4.9,1.9,44.6,29.2
1009,"Blount County, Alabama",2,0.1,39.8,51.6,0.2,0.8,2.3,15.7,9.5,11.8,1.3,5.8,7.7,19.7,4.6,6,4.8,20.9,21.7,7.7,10.2,15.3,14.7,2.5,6.5,88.3,3.6,11.7,50.8,78.6,21.4,4,20.6,10.1,30.4,98.4,1.6,0,0,0.1,0.1,0,0,0,0,0.8,1.6,0.9,8.2,0.2,0,0.7,87.1,0.3,0,49.3,50.7,6,6.9,6.4,5.5,6.3,5.6,1.5,44.4,35.1
1011,"Bullock County, Alabama",5.8,0,44.3,53,5.8,0,2.7,10.5,4.9,6.5,0.4,2.3,4.9,16.2,8.2,4.1,5.3,17.3,18.2,6.4,11.4,15.4,6.3,3.3,1.9,89.8,9.7,10.2,42,77.4,22.6,0,53.9,20.8,36.9,100,0,0,0,0.3,0,0,0,0,0,0,0,0,0.2,0.3,0,0,21.5,0,0,54.7,45.3,5.8,5.2,7.5,6.8,8.2,4.2,1.7,42.4,28.6
1013,"Butler County, Alabama",3.6,0.1,48.1,80.7,0.9,1.2,1.6,11.6,5.6,11.2,1.3,3,4.6,20.4,10.5,4.9,4.1,15.1,20.2,12.8,9.7,18.5,12.7,2.1,2.1,84.6,6.5,15.4,35.9,84.3,15.7,10.8,35.4,13.1,32.5,98.4,1.6,0,0,0,0.1,0,0,0,0,0,1.6,0.6,0.3,0,0,0,51.9,0,0,46.8,53.2,6,6.4,6.5,5.4,6.8,5.8,2.8,40.9,24
1015,"Calhoun County, Alabama",5,0.3,46.6,71.5,1.2,1,3.1,10.5,6,12.6,1.5,4.4,7.2,21.7,8.5,4.9,5.5,18.9,25.5,9.6,10.5,14.1,14.2,3.2,2,87.6,8,12.4,29.8,85.6,14.4,1.8,23.9,10.5,35.4,97.6,2.4,0,0,0.1,0.1,0.2,0.1,0,0,1.5,2.4,0.7,2.4,0.6,0.1,0.6,72.5,0,0.1,48.1,51.9,5.7,6.2,6.8,6.6,7,5.1,1.8,42.4,25
1017,"Chambers County, Alabama",2.8,0,48.4,75.7,0.6,0.7,1.8,10,4.5,10.4,1.9,3.6,10.1,18.8,6.3,4.1,4.1,16.6,19,13.1,12.6,15.1,15.1,1.7,5.5,87.6,6.1,12.4,30.3,79.6,20.4,13.8,22,10.9,33,99,1,0,0,0.1,0.1,0,0,0,0,0.5,1,0.2,0.8,0.6,0.6,0.3,55.8,0.1,0,48.1,51.9,5.8,6.2,5.8,7.5,6.5,5.7,2.1,42.3,23.6
1019,"Cherokee County, Alabama",2.7,0,39.7,65.4,0.3,1.2,1.7,13,7.3,11,1,1.8,4.7,23.3,4.7,2.2,7.2,18.3,24.2,8.6,11.1,17,15.3,1.8,1.5,88.3,5.8,11.7,45,84.4,15.6,0.8,19.8,11.8,29.6,99.2,0.8,0,0,0.1,0,0,0,0,0,0.3,0.8,0.4,1.4,0,0,0.1,91.8,0,0,49.6,50.4,4.7,5.9,6.2,5.3,7.4,6.6,1.9,46.5,28.1
