"country_code","admin_level","admin1","admin2","fips","X2020.03.01","X2020.03.02","X2020.03.03","X2020.03.04","X2020.03.05","X2020.03.06","X2020.03.07","X2020.03.08","X2020.03.09","X2020.03.10","X2020.03.11","X2020.03.12","X2020.03.13","X2020.03.14","X2020.03.15","X2020.03.16","X2020.03.17","X2020.03.18","X2020.03.19","X2020.03.20","X2020.03.21","X2020.03.22","X2020.03.23","X2020.03.24","X2020.03.25","X2020.03.26","X2020.03.27","X2020.03.28","X2020.03.29","X2020.03.30","X2020.03.31","X2020.04.01","X2020.04.02","X2020.04.03","X2020.04.04","X2020.04.05","X2020.04.06","X2020.04.07","X2020.04.08","X2020.04.09","X2020.04.10","X2020.04.11","X2020.04.12"
"US",2,"Alabama","Autauga County",1001,-51,0,-5,-5,0,16,-21,-42,8,-2,-1,7,3,-44,-63,-20,-30,-35,-42,-33,-68,-85,-56,-52,-53,-54,-48,-69,-82,-60,-65,-57,-58,-49,-73,-93,-65,-67,-68,-62,-57,-67,-99
"US",2,"Alabama","Baldwin County",1003,-19,0,-5,-10,2,14,-5,-18,-4,-1,0,4,12,-10,-21,-21,-28,-30,-29,-6,-45,-65,-45,-47,-45,-46,-39,-55,-74,-57,-59,-50,-51,-44,-64,-90,-63,-61,-59,-54,-49,-61,-99
"US",2,"Alabama","Barbour County",1005,-10,7,0,-30,-12,18,41,-21,-2,-7,3,24,21,2,-42,3,-8,-22,-25,-20,-33,-61,-35,-28,-29,-25,-14,-43,-48,-31,-41,-37,-41,-34,-45,-77,-49,-53,-53,-36,-20,-56,-87
"US",2,"Alabama","Bibb County",1007,-47,-5,0,-6,11,33,12,-49,24,0,15,8,20,-30,-45,-32,-29,-21,-25,-24,-73,-86,-64,-49,-44,-53,-46,-65,-83,-58,-62,-56,-56,-42,-70,-88,-64,-71,-57,-59,-45,-71,-97
"US",2,"Alabama","Blount County",1009,-32,-4,0,-1,1,14,-7,-39,3,-2,1,5,7,-24,-55,-11,-20,-30,-31,-31,-58,-79,-56,-60,-40,-45,-40,-63,-82,-54,-60,-47,-43,-38,-66,-92,-54,-59,-57,-51,-40,-65,-98
"US",2,"Alabama","Bullock County",1011,-30,-7,39,-45,5,0,52,-41,-33,1,-32,54,29,7,-34,-18,-48,-35,-23,-15,-55,-60,-54,-55,5,-39,-39,-56,-84,-56,-83,-22,-46,-73,-57,-84,-91,-90,-89,-87,-58,-69,-97
"US",2,"Alabama","Butler County",1013,-11,0,-1,-33,2,51,57,-29,16,-23,-7,13,48,17,-41,-16,-19,-34,-18,-16,-32,-70,-47,-43,-49,-56,-39,-54,-77,-57,-58,-48,-57,-41,-59,-74,-64,-70,-60,-60,-42,-49,-89
"US",2,"Alabama","Calhoun County",1015,-18,-2,0,-6,4,26,9,-14,3,0,6,12,11,-4,-40,-6,-15,-21,-15,-20,-42,-72,-51,-39,-29,-30,-26,-47,-71,-38,-48,-40,-36,-27,-52,-89,-52,-52,-50,-43,-43,-50,-100
"US",2,"Alabama","Chambers County",1017,-19,4,-8,-8,0,22,15,-40,-8,0,-2,9,13,-17,-56,-12,-27,-34,-40,-29,-61,-80,-54,-54,-57,-59,-46,-65,-85,-64,-63,-63,-56,-57,-71,-97,-69,-73,-75,-64,-59,-65,-97
"US",2,"Alabama","Cherokee County",1019,10,-12,0,-12,9,68,7,-6,-4,1,8,22,5,-6,-40,-7,-21,-36,-32,-37,-43,-62,-52,-60,-42,-46,-42,-55,-55,-50,-57,-56,-47,-42,-55,-73,-55,-50,-61,-52,-51,-52,-92
