,county_state
1,"Abbeville County, South Carolina"
2,"Acadia County, Louisiana"
3,"Accomack County, Virginia"
4,"Ada County, Idaho"
5,"Adair County, Iowa"
6,"Adair County, Kentucky"
7,"Adair County, Missouri"
8,"Adair County, Oklahoma"
9,"Adams County, Colorado"
10,"Adams County, Illinois"
11,"Adams County, Indiana"
12,"Adams County, Mississippi"
13,"Adams County, Nebraska"
14,"Adams County, Ohio"
15,"Adams County, Pennsylvania"
16,"Adams County, Washington"
17,"Adams County, Wisconsin"
18,"Addison County, Vermont"
19,"Aiken County, South Carolina"
20,"Aitkin County, Minnesota"
21,"Alachua County, Florida"
22,"Alamance County, North Carolina"
23,"Alameda County, California"
24,"Alamosa County, Colorado"
25,"Albany County, New York"
26,"Albany County, Wyoming"
27,"Albemarle County, Virginia"
28,"Alcona County, Michigan"
29,"Alcorn County, Mississippi"
30,"Alexander County, Illinois"
31,"Alexander County, North Carolina"
32,"Alexandria city, Virginia"
33,"Alger County, Michigan"
34,"Allamakee County, Iowa"
35,"Allegan County, Michigan"
36,"Allegany County, Maryland"
37,"Allegany County, New York"
38,"Alleghany County, North Carolina"
39,"Alleghany County, Virginia"
40,"Allegheny County, Pennsylvania"
41,"Allen County, Indiana"
42,"Allen County, Kansas"
43,"Allen County, Kentucky"
44,"Allen County, Louisiana"
45,"Allen County, Ohio"
46,"Allendale County, South Carolina"
47,"Alpena County, Michigan"
48,"Amador County, California"
49,"Amelia County, Virginia"
50,"Amherst County, Virginia"
51,"Amite County, Mississippi"
52,"Anderson County, Kansas"
53,"Anderson County, Kentucky"
54,"Anderson County, South Carolina"
55,"Anderson County, Tennessee"
56,"Anderson County, Texas"
57,"Andrew County, Missouri"
58,"Andrews County, Texas"
59,"Androscoggin County, Maine"
60,"Angelina County, Texas"
61,"Anne Arundel County, Maryland"
62,"Anoka County, Minnesota"
63,"Anson County, North Carolina"
64,"Antrim County, Michigan"
65,"Apache County, Arizona"
66,"Appanoose County, Iowa"
67,"Appling County, Georgia"
68,"Appomattox County, Virginia"
69,"Aransas County, Texas"
70,"Arapahoe County, Colorado"
71,"Archer County, Texas"
72,"Archuleta County, Colorado"
73,"Arenac County, Michigan"
74,"Arkansas County, Arkansas"
75,"Arlington County, Virginia"
76,"Armstrong County, Pennsylvania"
77,"Aroostook County, Maine"
78,"Ascension County, Louisiana"
79,"Ashe County, North Carolina"
80,"Ashland County, Ohio"
81,"Ashland County, Wisconsin"
82,"Ashley County, Arkansas"
83,"Ashtabula County, Ohio"
84,"Asotin County, Washington"
85,"Assumption County, Louisiana"
86,"Atascosa County, Texas"
87,"Atchison County, Kansas"
88,"Athens County, Ohio"
89,"Atkinson County, Georgia"
90,"Atlantic County, New Jersey"
91,"Atoka County, Oklahoma"
92,"Attala County, Mississippi"
93,"Audrain County, Missouri"
94,"Audubon County, Iowa"
95,"Auglaize County, Ohio"
96,"Augusta County, Virginia"
97,"Austin County, Texas"
98,"Autauga County, Alabama"
99,"Avery County, North Carolina"
100,"Avoyelles County, Louisiana"
101,"Bacon County, Georgia"
102,"Bailey County, Texas"
103,"Baker County, Florida"
104,"Baker County, Oregon"
105,"Baldwin County, Alabama"
106,"Baldwin County, Georgia"
107,"Ballard County, Kentucky"
108,"Baltimore, Maryland"
109,"Baltimore County, Maryland"
110,"Bamberg County, South Carolina"
111,"Bandera County, Texas"
112,"Banks County, Georgia"
113,"Bannock County, Idaho"
114,"Baraga County, Michigan"
115,"Barbour County, Alabama"
116,"Barbour County, West Virginia"
117,"Barnes County, North Dakota"
118,"Barnstable County, Massachusetts"
119,"Barnwell County, South Carolina"
120,"Barren County, Kentucky"
121,"Barron County, Wisconsin"
122,"Barrow County, Georgia"
123,"Barry County, Michigan"
124,"Barry County, Missouri"
125,"Bartholomew County, Indiana"
126,"Barton County, Kansas"
127,"Barton County, Missouri"
128,"Bartow County, Georgia"
129,"Bastrop County, Texas"
130,"Bates County, Missouri"
131,"Bath County, Kentucky"
132,"Bath County, Virginia"
