"admin1","admin2","fips","pre_post","average_mobility","average_mobility_std"
"Alabama","Autauga County",1001,"Post",-38.1428571428571,0.13452916728384
"Alabama","Autauga County",1001,"Pre",-6.85714285714286,0.835100094246076
"Alabama","Baldwin County",1003,"Post",-20.7142857142857,0.41806856582535
"Alabama","Baldwin County",1003,"Pre",-1.71428571428571,0.880357229804231
"Alabama","Barbour County",1005,"Post",-16,0.61593329848271
"Alabama","Barbour County",1005,"Pre",8.42857142857143,1.11212183466654
"Alabama","Bibb County",1007,"Post",-29.4285714285714,0.283144557676082
"Alabama","Bibb County",1007,"Pre",4.28571428571429,1.11497892602893
"Alabama","Blount County",1009,"Post",-28.8571428571429,0.340151292901713
"Alabama","Blount County",1009,"Pre",-4.57142857142857,0.87394993403948
"Alabama","Bullock County",1011,"Post",-23.7142857142857,0.37182247691601
"Alabama","Bullock County",1011,"Pre",4.28571428571429,1.03632194351448
"Alabama","Butler County",1013,"Post",-18.1428571428571,0.537286468285071
"Alabama","Butler County",1013,"Pre",10.7142857142857,1.16810469800144
"Alabama","Calhoun County",1015,"Post",-17.2857142857143,0.572654620583523
"Alabama","Calhoun County",1015,"Pre",3.85714285714286,1.00556070459581
"Alabama","Chambers County",1017,"Post",-30.7142857142857,0.291004287890442
"Alabama","Chambers County",1017,"Pre",-1.85714285714286,0.926803680367583
"Alabama","Cherokee County",1019,"Post",-25.5714285714286,0.37916066798876
"Alabama","Cherokee County",1019,"Pre",4.71428571428571,1.0057554628462
"Alabama","Chilton County",1021,"Post",-15.5714285714286,0.606538917109725
"Alabama","Chilton County",1021,"Pre",16,1.30982713666651
"Alabama","Choctaw County",1023,"Post",-16,0.609496791542417
"Alabama","Choctaw County",1023,"Pre",-0.857142857142857,0.963064779713467
"Alabama","Clarke County",1025,"Post",-19.5714285714286,0.481607639544268
"Alabama","Clarke County",1025,"Pre",3.85714285714286,1.06060068860263
"Alabama","Clay County",1027,"Post",-28.8571428571429,0.294885813496929
"Alabama","Clay County",1027,"Pre",-6.28571428571429,0.815183146517365
"Alabama","Cleburne County",1029,"Post",-25,0.371278921977131
"Alabama","Cleburne County",1029,"Pre",-9.14285714285714,0.730007295934646
"Alabama","Coffee County",1031,"Post",-20.1428571428571,0.494618503274246
"Alabama","Coffee County",1031,"Pre",-0.571428571428571,0.954882020312376
"Alabama","Colbert County",1033,"Post",-20.4285714285714,0.470967738148668
"Alabama","Colbert County",1033,"Pre",1.42857142857143,0.946918053554981
"Alabama","Conecuh County",1035,"Post",0.571428571428571,0.893807783914897
"Alabama","Conecuh County",1035,"Pre",3.28571428571429,0.975774021155464
"Alabama","Coosa County",1037,"Post",-7,0.770889853897001
"Alabama","Coosa County",1037,"Pre",7.71428571428571,1.08822593767235
"Alabama","Covington County",1039,"Post",-12,0.64156027480399
"Alabama","Covington County",1039,"Pre",-5.28571428571429,0.82101234449119
"Alabama","Crenshaw County",1041,"Post",-18.5714285714286,0.547846273723509
"Alabama","Crenshaw County",1041,"Pre",0,0.997276367669989
"Alabama","Cullman County",1043,"Post",-19.8571428571429,0.500409899041359
"Alabama","Cullman County",1043,"Pre",1.28571428571429,0.9551256578709
"Alabama","Dale County",1045,"Post",-15.2857142857143,0.603762392982086
"Alabama","Dale County",1045,"Pre",-0.857142857142857,0.943652169933691
"Alabama","Dallas County",1047,"Post",-17.7142857142857,0.533828468618085
